"Blu0_6:36",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,1,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,1,1,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,
"Blu1_12:2",0,0,0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,1,0,0,"X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blu2_8:11",0,0,0,0,"X",0,0,0,0,"X",0,0,0,1,0,"X",1,1,1,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blu3_7:51",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,1,0,0,"X",1,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,1,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,
"Red0_3:37",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,0,0,"X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",1,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,
"Red1_1:40",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,1,1,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,
"Red2_14:6",0,0,0,0,"X",0,0,1,1,0,"X",1,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,1,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red3_12:25",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,1,0,0,"X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wte0_5:0",0,1,1,0,"X",1,1,0,0,"X",1,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wte1_4:55",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,0,0,0,"X",1,1,0,0,"X",1,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X"
"Wte2_5:0",0,1,0,0,"X",1,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,1,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wte3_4:10",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,1,1,0,"X",1,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wte4_1:51",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,0,"X",0,0,1,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",1,0,0,0,"X",1,1,1,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X",0,0,0,0,"X","X","X","X","X","X",,,,
,0,2,1,1,0,2,2,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
